Lady Windermere’s Fan	1925	2002
Lambchops	1929	1999
The Land Beyond the Sunset	1912	2000
Lassie Come Home	1943	1993
The Last Command	1928	2006
The Last of the Mohicans	1920	1995
The Last Picture Show	1971	1998
Last Waltz, The	1978	2019
Laura	1944	1999
Lawrence of Arabia	1962	1991
The Lead Shoes	1949	2009
A League of Their Own	1992	2012
The Learning Tree	1969	1989
Leave Her to Heaven	1945	2018
Let There Be Light	1946	2010
Letter from an Unknown Woman	1948	1992
Let’s All Go to the Lobby	1957	2000
The Life and Death of 9413: a Hollywood Extra	1927	1997
The Life and Times of Rosie the Riveter	1980	1996
Life of an American Fireman	1903	2016
The Life of Emile Zola	1937	2000
Lilies of the Field	1963	2020
The Lion King	1994	2016
Little Big Man	1970	2014
Little Caesar	1930	2000
Little Fugitive	1953	1997
Little Miss Marker	1934	1998
Little Nemo	1911	2009
Lives of Performers	1972	2017
The Living Desert	1953	2000
Lonesome	1928	2010
Losing Ground	1982	2020
Lost Horizon	1937	2016
The Lost Weekend	1945	2011
The Lost World	1925	1998
Louisiana Story	1948	1994
Love Finds Andy Hardy	1938	2000
Love Me Tonight	1932	1990
The Lunch Date	1989	2013
Luxo Jr.	1986	2014
M*A*S*H	1970	1996
Mabel’s Blunder	1914	2009
Magical Maestro	1952	1993
The Magnificent Ambersons	1942	1991
The Magnificent Seven	1961	2013
Make Way for Tomorrow	1937	2010
The Making of an American	1920	2005
Malcolm X	1992	2010
The Maltese Falcon	1941	1989
The Man Who Shot Liberty Valance	1962	2007
The Man with the Golden Arm	1955	2020
The Manchurian Candidate	1962	1994
Manhatta	1921	1995
Manhattan	1979	2001
The March	1964	2008
March of Time: Inside Nazi Germany	1938	1993
Marian Anderson: the Lincoln Memorial Concert	1939	2001
The Mark of Zorro	1920	2015
The Mark of Zorro	1940	2009
Martha Graham Dance Films		2013
Marty	1955	1994
Mary Poppins	1964	2013
Master Hands	1936	1999
Matrimony’s Speed Limit	1913	2003
The Matrix	1999	2012
Mauna Kea: Temple Under Siege	2006	2020
McCabe & Mrs. Miller	1971	2010
Mean Streets	1973	1997
Medium Cool	1969	2003
Meet Me in St. Louis	1944	1994
Melody Ranch	1940	2002
Memento	2001	2017
Memphis Belle	1944	2001
Men and Dust	1940	2013
Meshes of the Afternoon	1943	1990
Michael Jackson’s Thriller	1983	2009
The Middleton Family at the New York World’s Fair	1939	2012
Midnight	1939	2013
Midnight Cowboy	1969	1994
Mighty Like a Moose	1926	2007
Mildred Pierce	1945	1996
The Miracle of Morgan’s Creek	1944	2001
Miracle on 34th Street	1947	2005
Miss Lulu Bett	1922	2001
Modern Times	1936	1989
Modesta	1956	1998
Mom and Dad	1944	2005
Monterey Pop	1968	2018
Moon Breath Beat	1980	2014
Morocco	1930	1992
Motion Painting No. 1	1947	1997
A MOVIE	1958	1994
Mr. Smith Goes to Washington	1939	1989
Mrs. Miniver	1942	2009
Multiple SIDosis	1970	2000
The Muppet Movie	1979	2009
The Music Box	1932	1997
The Music Man	1962	2005
Musketeers of Pig Alley	1912	2016
My Darling Clementine	1946	1991
My Fair Lady	1964	2018
My Man Godfrey	1936	1999
My Name Is Oona	1969	2019
The Naked City	1948	2007
The Naked Spur	1953	1997
Nanook of the North	1922	1989
Nashville	1975	1992
National Lampoon’s Animal House	1978	2001
National Velvet	1944	2003
Naughty Marietta	1935	2003
Navajo Film Themselves (Through Navajo Eyes)	1966	2002
The Navigator	1924	2018
The Negro Soldier	1944	2011
Network	1976	2000
A New Leaf	1971	2019
Newark Athlete	1891	2010
Nicholas Brothers' Home Movies	1930s-'40s	2011
A Night at the Opera	1935	1993
